source,scope,band,metric,n_seizure_free,n_recurrence,median_seizure_free,median_recurrence,mean_seizure_free,mean_recurrence,iqr_seizure_free,iqr_recurrence,auc,auc_lo,auc_hi,rank_biserial,p_permutation,n_comparisons,p_bonferroni,arm,run,t_start,t_stop,window_s,n_common_subjects
expert,reviewed,fast_ripple,top3_resected,13,7,0.6666666666666666,0.3333333333333333,0.641025641025641,0.4285714285714285,0.333-1.000,0.167-0.667,0.6703296703296703,0.4175824175824176,0.9010989010989012,0.3406593406593405,0.2534184726522188,24,1.0,pooled,pooled,0.0,300.0,300.0,
expert,reviewed,ripple,top3_resected,13,7,0.0,0.3333333333333333,0.2051282051282051,0.2857142857142857,0.000-0.333,0.000-0.500,0.4230769230769231,0.1813186813186813,0.6758241758241759,-0.1538461538461538,0.5785603715170279,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,fast_ripple,top3_resected,13,7,0.6666666666666666,0.3333333333333333,0.641025641025641,0.4285714285714285,0.333-1.000,0.167-0.667,0.6703296703296703,0.4175824175824176,0.8956043956043956,0.3406593406593405,0.2534184726522188,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,ripple,top3_resected,13,7,0.6666666666666666,0.3333333333333333,0.5128205128205128,0.3333333333333333,0.333-0.667,0.000-0.500,0.6373626373626373,0.3736263736263736,0.8791208791208791,0.2747252747252746,0.359907120743034,24,1.0,pooled,pooled,0.0,300.0,300.0,
expert,reviewed,fast_ripple,candidates_resected,13,7,1.0,0.75,0.8846153846153846,0.5928571428571429,1.000-1.000,0.200-1.000,0.7087912087912088,0.4945054945054945,0.9230769230769232,0.4175824175824176,0.0937564499484004,24,1.0,pooled,pooled,0.0,300.0,300.0,
expert,reviewed,ripple,candidates_resected,13,7,0.0,0.0,0.3461538461538461,0.3571428571428571,0.000-1.000,0.000-0.750,0.489010989010989,0.2582417582417582,0.7197802197802198,-0.021978021978022,1.0,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,fast_ripple,candidates_resected,13,7,1.0,0.5,0.7423076923076923,0.5,0.500-1.000,0.000-1.000,0.6318681318681318,0.3846153846153846,0.8681318681318682,0.2637362637362637,0.3557791537667699,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,ripple,candidates_resected,13,7,1.0,0.0,0.5833333333333333,0.25,0.000-1.000,0.000-0.375,0.6923076923076923,0.4615384615384615,0.9010989010989012,0.3846153846153846,0.1851393188854489,24,1.0,pooled,pooled,0.0,300.0,300.0,
expert,reviewed,fast_ripple,candidates_all_resected,13,7,1.0,0.0,0.8461538461538461,0.4285714285714285,1.000-1.000,0.000-1.000,0.7087912087912088,0.489010989010989,0.9230769230769232,0.4175824175824176,0.1219298245614035,24,1.0,pooled,pooled,0.0,300.0,300.0,
expert,reviewed,ripple,candidates_all_resected,13,7,0.0,0.0,0.3076923076923077,0.2857142857142857,0.000-1.000,0.000-0.500,0.510989010989011,0.2912087912087912,0.7032967032967034,0.0219780219780219,1.0,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,fast_ripple,candidates_all_resected,13,7,1.0,0.0,0.6153846153846154,0.4285714285714285,0.000-1.000,0.000-1.000,0.5934065934065934,0.3736263736263736,0.8131868131868132,0.1868131868131868,0.6424148606811145,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,ripple,candidates_all_resected,13,7,1.0,0.0,0.5384615384615384,0.1428571428571428,0.000-1.000,0.000-0.000,0.6978021978021978,0.5054945054945055,0.8846153846153846,0.3956043956043955,0.157688338493292,24,1.0,pooled,pooled,0.0,300.0,300.0,
