source,scope,band,metric,n_seizure_free,n_recurrence,median_seizure_free,median_recurrence,mean_seizure_free,mean_recurrence,iqr_seizure_free,iqr_recurrence,auc,auc_lo,auc_hi,rank_biserial,p_permutation,n_comparisons,p_bonferroni
expert,all,ripple,top3_resected,13,7,0.0,0.3333333333333333,0.25641025641025644,0.2857142857142857,0.000-0.333,0.000-0.500,0.45604395604395603,0.2087912087912088,0.6978021978021978,-0.08791208791208793,0.7594814241486069,36,1.0
expert,reviewed,fast_ripple,top3_resected,13,7,0.6666666666666666,0.3333333333333333,0.5897435897435898,0.4285714285714285,0.333-0.667,0.167-0.667,0.6318681318681318,0.36813186813186816,0.8736263736263736,0.2637362637362637,0.3495356037151703,36,1.0
expert,reviewed,ripple,top3_resected,13,7,0.0,0.3333333333333333,0.25641025641025644,0.2857142857142857,0.000-0.333,0.000-0.500,0.45604395604395603,0.2087912087912088,0.6978021978021978,-0.08791208791208793,0.7594814241486069,36,1.0
rms,all,fast_ripple,top3_resected,13,7,0.6666666666666666,0.3333333333333333,0.48717948717948717,0.38095238095238093,0.000-0.667,0.000-0.667,0.5769230769230769,0.31868131868131866,0.8186813186813187,0.15384615384615374,0.6828689370485036,36,1.0
rms,all,ripple,top3_resected,13,7,0.3333333333333333,0.0,0.3846153846153845,0.23809523809523808,0.333-0.333,0.000-0.333,0.6703296703296703,0.3791208791208791,0.9230769230769231,0.34065934065934056,0.17067853457172344,36,1.0
rms,reviewed,fast_ripple,top3_resected,13,7,0.6666666666666666,0.3333333333333333,0.5897435897435896,0.42857142857142855,0.333-1.000,0.167-0.667,0.6263736263736264,0.3626373626373626,0.8626373626373627,0.25274725274725274,0.3780959752321981,36,1.0
rms,reviewed,ripple,top3_resected,13,7,0.3333333333333333,0.3333333333333333,0.5384615384615383,0.3333333333333333,0.333-0.667,0.000-0.500,0.6758241758241759,0.4010989010989011,0.9120879120879121,0.35164835164835173,0.22925696594427245,36,1.0
expert,all,fast_ripple,candidates_resected,13,7,1.0,0.5,0.782051282051282,0.5214285714285715,0.667-1.000,0.200-0.875,0.6923076923076923,0.44505494505494503,0.9120879120879121,0.3846153846153846,0.14726522187822497,36,1.0
expert,all,ripple,candidates_resected,13,7,0.0,0.0,0.2692307692307692,0.2714285714285714,0.000-0.500,0.000-0.450,0.5,0.2690934065934067,0.7307692307692307,0.0,1.0,36,1.0
expert,reviewed,fast_ripple,candidates_resected,13,7,1.0,0.5,0.782051282051282,0.5214285714285715,0.667-1.000,0.200-0.875,0.6923076923076923,0.44505494505494503,0.9120879120879121,0.3846153846153846,0.14726522187822497,36,1.0
expert,reviewed,ripple,candidates_resected,13,7,0.0,0.0,0.2692307692307692,0.2714285714285714,0.000-0.500,0.000-0.450,0.5,0.2690934065934067,0.7307692307692307,0.0,1.0,36,1.0
rms,all,fast_ripple,candidates_resected,13,7,0.5454545454545454,0.0,0.5804195804195804,0.42857142857142855,0.000-1.000,0.000-1.000,0.5824175824175825,0.3241758241758242,0.8296703296703297,0.16483516483516492,0.6229102167182663,36,1.0
rms,all,ripple,candidates_resected,13,7,0.25,0.0,0.3606227106227106,0.21428571428571427,0.000-0.429,0.000-0.250,0.6538461538461539,0.38461538461538464,0.8846153846153846,0.3076923076923077,0.2662925696594427,36,1.0
rms,reviewed,fast_ripple,candidates_resected,13,7,1.0,0.5,0.773076923076923,0.5,0.500-1.000,0.000-1.000,0.6703296703296703,0.4065934065934066,0.9065934065934066,0.34065934065934056,0.19926470588235295,36,1.0
